date,i1,i2,i3,i4,itotal,largetotal,area,length,width,circumference
20230701,1330943,0,0,0,1330943,1330943,0,2349.5531490051467,0.0,1330943
20230702,1323898,0,0,0,1323898,1323898,1323916,2342.3279018958897,0.0,1323898
20230708,1426407,0,0,0,1426407,1426407,1438859,2400.670739605913,0.0,1426407
20230710,1317023,0,0,0,1317023,1317023,1317441,2326.9078194032527,0.0,1317023
20230711,1321509,0,0,0,1321509,1321509,0,2315.5612710528735,0.0,1321509
20230712,1326260,0,0,0,1326260,1326260,1327602,2395.1492646597208,0.0,1326260
20230713,1323366,0,0,0,1323366,1323366,0,2325.404050912443,0.0,1323366
20230714,1339112,0,0,0,1339112,1339112,1370635,2323.715989530562,0.0,1339112
20230717,1325204,0,0,0,1325204,1325204,0,2339.5495292897735,0.0,1325204
20230720,1325530,0,0,0,1325530,1325530,0,2344.540040178457,0.0,1325530
20230721,1330708,0,0,0,1330708,1339468,1339736,2431.2893698611856,0.0,1330708
20230723,1335954,0,0,0,1335954,1351766,1352091,2428.821113215216,0.0,1335954
20230724,1333215,0,0,0,1333215,1333215,1335525,2410.6472159982263,0.0,1333215
20230725,1331777,0,0,0,1331777,1331777,1334316,2399.2707225321615,0.0,1331777
20230726,1324191,0,0,0,1324191,1324191,1326002,2442.0425876712306,0.0,1324191
20230728,1322869,0,0,0,1322869,1322869,0,2326.647373367954,0.0,1322869
20230729,1324426,0,0,0,1324426,1324426,1325957,2330.383659400314,0.0,1324426
20230805,1334425,0,0,0,1334425,1363433,0,2466.836030221709,0.0,1334425
20230812,1344649,0,0,0,1344649,1402763,1404481,2511.4298716070093,0.0,1344649
20230814,50262,0,0,0,50262,50262,1396060,536.1231201878911,0.0,50262
20230816,1342684,0,0,0,1342684,1401163,0,2527.5545493618924,0.0,1342684
20230817,1355859,0,0,0,1355859,1431488,1433693,2560.1132787437355,0.0,1355859
20230819,1338872,0,0,0,1338872,1395187,1395836,2506.639184246508,0.0,1338872
20230820,1345037,0,0,0,1345037,1412414,1414359,2532.0631903647272,0.0,1345037
20230824,1336974,0,0,0,1336974,1407040,0,2531.04642391245,0.0,1336974
20230825,1344144,0,0,0,1344144,1344144,1344192,2321.18762705646,0.0,1344144
20230826,1318367,0,0,0,1318367,1318367,0,2316.5396607871835,0.0,1318367
20230827,1321237,0,0,0,1321237,1321237,1321334,2320.1939574095954,0.0,1321237
20230901,1475693,0,0,0,1475693,1475693,1477071,3025.6192754542003,0.0,1475693
20230903,1493795,0,0,0,1493795,1493795,1494334,3032.9523570277197,0.0,1493795
20230904,1502221,0,0,0,1502221,1502221,0,3050.065573065602,0.0,1502221
20230906,1533688,0,0,0,1533688,1533688,1535412,3093.0787251539523,0.0,1533688
20230908,1536440,0,0,0,1536440,1536440,1536793,3116.1957576506647,0.0,1536440
20230909,1517819,0,0,0,1517819,1517819,0,3146.027336181299,0.0,1517819
20230910,1556214,0,0,0,1556214,1556214,1557910,3143.9802798363735,0.0,1556214
20230912,1528297,0,0,0,1528297,1528297,0,3240.440093567539,0.0,1528297
20230913,1555969,0,0,0,1555969,1555969,1557418,3196.9591802211053,0.0,1555969
20230914,1550167,0,0,0,1550167,1550167,0,3215.7419050663875,0.0,1550167
20230915,1601441,0,0,0,1601441,1601441,1607754,3252.1771169479684,0.0,1601441
20230925,1646821,0,0,0,1646821,1646821,0,3179.3590549039914,0.0,1646821
20230926,1712619,0,0,0,1712619,1712619,1770992,3406.05695783262,0.0,1712619
20230927,1763639,0,0,0,1763639,1763639,1840977,3420.2204607305653,0.0,1763639
20231008,1228,0,0,0,1228,0,1925218,69.07966415668217,0.0,1228
20231013,213,0,0,0,213,0,2042132,29.732137494637012,0.0,213
20231028,210,0,0,0,210,0,2006829,20.0,0.0,210
